Data,Produção - café - quantidade - Tonelada - Instituto Brasileiro de Geografia e Estatística- Pesquisa Agrícola Municipal (IBGE/PAM) - LSPA_QCAFE,
1900,564000,
1901,678000,
1902,966000,
1903,774000,
1904,666000,
1905,630000,
1906,654000,
1907,1212000,
1908,660000,
1909,774000,
1910,918000,
1911,648000,
1912,780000,
1913,726000,
1914,870000,
1915,810000,
1916,960000,
1917,762000,
1918,948000,
1919,582000,
1920,788488,
1921,1026935,
1922,856557,
1923,857331,
1924,951715,
1925,888069,
1926,959847,
1927,1100883,
1928,1670892,
1929,1576565,
1930,1634145,
1931,1301670,
1932,1535745,
1933,1776600,
1934,1652538,
1935,1135872,
1936,1577046,
1937,1460959,
1938,1404143,
1939,1157031,
1940,1002062,
1941,961552,
1942,829879,
1943,921934,
1944,686686,
1945,834916,
1946,917318,
1947,947489,
1948,1037465,
1949,1068283,
1950,1071437,
1951,1080189,
1952,1125406,
1953,1110606,
1954,1036987,
1955,1369759,
1956,979278,
1957,1409304,
1958,1695855,
1959,4396844,
1960,4169586,
1961,4457408,
1962,4380607,
1963,3301054,
1964,2084027,
1965,4588095,
1966,2405737,
1967,3014991,
1968,2115404,
1969,2567014,
1970,1509520,
1971,3102924,
1972,2991410,
1973,1745795,
1974,3230618,
1975,2544596,
1976,751969,
1977,1950771,
1978,2535323,
1979,2665545,
1980,2122391,
1981,4064421,
1982,1915861,
1983,3343176,
1984,2840563,
1985,3821292,
1986,2082811,
1987,4405416,
1988,2737660,
1989,3059685,
1990,2929711,
1991,3040763,
1992,2588745,
1993,2557518,
1994,2614578,
1995,1860269,
1996,2738391,
1997,2457025,
1998,3378731,
1999,3263704,
2000,3807124,
2001,3639138,
2002,2610524,
2003,1987074,
2004,2465710,
2005,2140169,
2006,2573368,
2007,2249011,
2008,2796927,
2009,2440056,
2010,2907265,
2011,2700540,
2012,3037534,
2013,2964538,
2014,2804070,
2015,2647504,
2016,3024466,
2017,2684508,
2018,3552729,
2019,3011745,
2020,3700231,
